Name	Tier	Draft	Games	Carries	Rushing Yards	Yards per Carry	Rushing TD	Rushing Yards per Game	Receptions	Receiving Yards	Yards per Reception	Receiving TD	Receiving Yards per Game	Plays	Scrimmage Yards	Average Scrimmage Yards	Total TD	Years
Clyde Edwards-Helaire	2	1	41	370	2103	5.7	23	51.3	69	595	8.6	1	14.5	439	2698	6.1	24	3
D'Andre Swift	2	2	43	440	2885	6.6	20	67.1	73	666	9.1	5	15.5	513	3551	6.9	25	3
Jonathan Taylor	1	2	41	926	6174	6.7	50	150.6	42	407	9.7	5	9.9	968	6581	6.8	55	3
Cam Akers	3	2	36	586	2874	4.9	27	79.8	69	486	7	7	13.5	655	3360	5.1	34	3
J.K. Dobbins	2	2	42	725	4459	6.2	38	106.2	71	645	9.1	5	15.4	796	5104	6.4	43	3
AJ Dillon	2	2	36	845	4382	5.2	38	121.7	21	236	11.2	2	6.6	866	4618	5.3	40	3
Antonio Gibson	1	3	28	44	834	19	10	29.8	33	369	11.2	4	13.2	77	1203	15.6	14	2
Ke'Shawn Vaughn	4	3	46	572	3296	5.8	30	71.7	67	664	9.9	3	14.4	639	3960	6.2	33	4
Zack Moss	3	3	45	712	4067	5.7	38	90.4	66	685	10.4	3	15.2	778	4752	6.1	41	4
Darrynton Evans	4	3	39	482	2884	6	25	73.9	39	319	8.2	6	8.2	521	3203	6.1	31	3
Joshua Kelley	4	4	22	454	2303	5.1	24	104.7	38	264	6.9	1	12	492	2567	5.2	25	2
La'Mical Perine	4	4	50	493	2485	5	22	49.7	72	674	9.4	8	13.5	565	3159	5.6	30	4
Anthony McFarland Jr.	4	4	23	245	1648	6.7	12	71.7	24	199	8.3	1	8.7	269	1847	6.9	13	2
DeeJay Dallas	4	4	35	265	1527	5.8	17	43.6	28	317	11.3	2	9.1	293	1844	6.3	19	3
Jason Huntley	4	5	47	373	2182	5.8	18	46.4	134	1119	8.4	7	23.8	507	3301	6.5	25	4
Eno Benjamin	4	7	35	576	2867	5	27	81.9	82	625	7.6	4	17.9	658	3492	5.3	31	3
Raymond Calais	4	7	49	236	1845	7.8	15	37.7	17	145	8.5	1	3	253	1990	7.9	16	4
Malcolm Perry	4	7	41	614	4359	7.1	40	106.3	22	470	21.4	3	11.5	636	4829	7.6	43	4
