Name,Tier,Draft,Games,Carries,Rushing Yards,Yards per Carry,Rushing TD,Rushing Yards per Game,Receptions,Receiving Yards,Yards per Reception,Receiving TD,Receiving Yards per Game,Plays,Scrimmage Yards,Average Scrimmage Yards,Total TD,Years
Jonathon Brooks,,2,23,238,1479,6.2,16,64.3,28,335,12,2,14.6,266,1814,6.8,18,3
Trey Benson,,3,36,316,1918,6.1,24,53.3,33,371,11.2,1,10.3,349,2289,6.6,25,3
Blake Corum,,3,45,674,3737,5.5,58,83,56,411,7.3,3,9.1,730,4148,5.7,61,4
MarShawn Lloyd,,3,32,291,1621,5.6,19,50.7,34,452,13.3,2,14.1,325,2073,6.4,21,3
Jaylen Wright,,4,34,368,2297,6.2,18,67.6,30,171,5.7,0,5,398,2468,6.2,18,3
Bucky Irving,,4,39,475,2937,6.2,20,75.3,95,785,8.3,5,20.1,570,3722,6.5,25,3
Will Shipley,,4,36,526,2747,5.2,31,76.3,85,602,7.1,2,16.7,611,3349,5.5,33,3
Ray Davis,,4,44,746,3626,4.9,29,82.4,94,762,8.1,12,17.3,840,4388,5.2,41,5
Isaac Guerendo,,4,41,231,1392,6,17,34,42,358,8.5,1,8.7,273,1750,6.4,18,6
Braelon Allen,,4,35,597,3494,5.9,35,99.8,49,275,5.6,0,7.9,646,3769,5.8,35,3
Audric Estime,,5,37,373,2321,6.2,29,62.7,26,277,10.7,1,7.5,399,2598,6.5,30,3
Rasheen Ali,,5,34,514,2831,5.5,39,83.3,76,565,7.4,3,16.6,590,3396,5.8,42,4
Tyrone Tracy Jr.,,5,25,130,854,6.6,8,34.2,47,330,7,0,13.2,177,1184,6.7,8,2
Keilan Robinson,,5,45,121,796,6.6,8,17.7,35,332,9.5,3,7.4,156,1128,7.2,11,4
Kimani Vidal,,6,48,781,4010,5.1,33,83.5,92,700,7.6,1,14.6,873,4710,5.4,34,4
Jase McClellan,,6,42,355,1981,5.6,18,47.2,40,409,10.2,6,9.7,395,2390,6.1,24,4
Jawhar Jordan,,6,37,381,2214,5.8,18,59.8,39,476,12.2,1,12.9,420,2690,6.4,19,5
