Name	Tier	Draft	Games	Carries	Rushing Yards	Yards per Carry	Rushing TD	Rushing Yards per Game	Receptions	Receiving Yards	Yards per Reception	Receiving TD	Receiving Yards per Game	Plays	Scrimmage Yards	Average Scrimmage Yards	Total TD	Years,Name,Tier,Draft,Games,Carries,Rushing Yards,Yards per Carry,Rushing TD,Rushing Yards per Game,Receptions,Receiving Yards,Yards per Reception,Receiving TD,Receiving Yards per Game,Plays,Scrimmage Yards,Average Scrimmage Yards,Total TD,Years
Josh Jacobs	1	1	42	251	1491	5.9	16	35.5	48	571	11.9	5	13.6	299	2062	6.9	21	3,,,,,,,,,,,,,,,,,,,
Miles Sanders	2	2	38	276	1649	6	12	43.4	32	193	6	1	5.1	308	1842	6	13	3,,,,,,,,,,,,,,,,,,,
Darrell Henderson	3	3	38	431	3545	8.2	36	93.3	63	758	12	8	19.9	494	4303	8.7	44	3,,,,,,,,,,,,,,,,,,,
David Montgomery	1	3	37	624	2925	4.7	26	79.1	71	582	8.2	0	15.7	695	3507	5	26	3,,,,,,,,,,,,,,,,,,,
Devin Singletary	2	3	38	714	4289	6	66	112.9	51	397	7.8	1	10.4	765	4686	6.1	67	3,,,,,,,,,,,,,,,,,,,
Damien Harris	2	3	56	441	2779	6.3	21	49.6	52	407	7.8	2	7.3	493	3186	6.5	23	4,,,,,,,,,,,,,,,,,,,
Alexander Mattison	3	3	40	581	2829	4.9	33	70.7	60	511	8.5	1	12.8	641	3340	5.2	34	3,,,,,,,,,,,,,,,,,,,
Bryce Love	4	4	49	569	3866	6.8	30	78.9	49	465	9.5	2	9.5	618	4331	7	32	4,,,,,,,,,,,,,,,,,,,
Justice Hill	4	4	36	632	3539	5.6	30	98.3	49	304	6.2	1	8.4	681	3843	5.6	31	3,,,,,,,,,,,,,,,,,,,
Benny Snell Jr.	4	4	39	737	3873	5.3	48	99.3	29	216	7.4	0	5.5	766	4089	5.3	48	3,,,,,,,,,,,,,,,,,,,
Tony Pollard	1	4	40	139	941	6.8	9	23.5	104	1292	12.4	9	32.3	243	2233	9.2	18	3,,,,,,,,,,,,,,,,,,,
Ryquell Armstead	4	5	48	573	2812	4.9	34	58.6	29	175	6	0	3.6	602	2987	5	34	4,,,,,,,,,,,,,,,,,,,
Qadree Ollison	4	5	52	529	2859	5.4	29	55	50	375	7.5	3	7.2	579	3234	5.6	32	4,,,,,,,,,,,,,,,,,,,
Jordan Scarlett	4	5	35	344	1846	5.4	12	52.7	15	108	7.2	0	3.1	359	1954	5.4	12	3,,,,,,,,,,,,,,,,,,,
Trayveon Williams	4	6	38	600	3615	6	34	95.1	66	561	8.5	1	14.8	666	4176	6.3	35	3,,,,,,,,,,,,,,,,,,,
Ty Johnson	4	6	46	348	2635	7.6	17	57.3	29	318	11	2	6.9	377	2953	7.8	19	4,,,,,,,,,,,,,,,,,,,
Dexter Williams	4	6	37	257	1636	6.4	20	44.2	22	162	7.4	2	4.4	279	1798	6.4	22	4,,,,,,,,,,,,,,,,,,,
Travis Homer	4	6	38	334	1995	6	12	52.5	37	405	10.9	1	10.7	371	2400	6.5	13	3,,,,,,,,,,,,,,,,,,,
Rodney Anderson	4	6	18	200	1285	6.4	16	71.4	17	281	16.5	5	15.6	217	1566	7.2	21	3,,,,,,,,,,,,,,,,,,,
Darwin Thompson	4	6	13	153	1044	6.8	14	80.3	23	351	15.3	2	27	176	1395	7.9	16	1,,,,,,,,,,,,,,,,,,,
Mike Weber	4	7	38	455	2676	5.9	24	70.4	54	297	5.5	1	7.8	509	2973	5.8	25	3,,,,,,,,,,,,,,,,,,,
Cullen Gillaspia	4	7	13	5	52	10.4	0	4	5	33	6.6	1	2.5	10	85	8.5	1	1,,,,,,,,,,,,,,,,,,,
Kerrith Whyte Jr	4	7	37	232	1358	5.9	11	36.7	22	227	10.3	2	6.1	254	1585	6.2	13	3,,,,,,,,,,,,,,,,,,,
Chandler Cox	4	7	52	26	237	9.1	1	4.6	11	18	1.6	3	0.3	37	255	6.9	4	4,,,,,,,,,,,,,,,,,,,
Myles Gaskin	2	7	52	945	5323	5.6	57	102.4	65	465	7.2	5	8.9	1010	5788	5.7	62	4,,,,,,,,,,,,,,,,,,,
Clyde Edwards-Helaire	2	1	41	370	2103	5.7	23	51.3	69	595	8.6	1	14.5	439	2698	6.1	24	3,,,,,,,,,,,,,,,,,,,
D'Andre Swift	2	2	43	440	2885	6.6	20	67.1	73	666	9.1	5	15.5	513	3551	6.9	25	3,,,,,,,,,,,,,,,,,,,
Jonathan Taylor	1	2	41	926	6174	6.7	50	150.6	42	407	9.7	5	9.9	968	6581	6.8	55	3,,,,,,,,,,,,,,,,,,,
Cam Akers	3	2	36	586	2874	4.9	27	79.8	69	486	7	7	13.5	655	3360	5.1	34	3,,,,,,,,,,,,,,,,,,,
J.K. Dobbins	2	2	42	725	4459	6.2	38	106.2	71	645	9.1	5	15.4	796	5104	6.4	43	3,,,,,,,,,,,,,,,,,,,
AJ Dillon	2	2	36	845	4382	5.2	38	121.7	21	236	11.2	2	6.6	866	4618	5.3	40	3,,,,,,,,,,,,,,,,,,,
Antonio Gibson	1	3	28	44	834	19	10	29.8	33	369	11.2	4	13.2	77	1203	15.6	14	2,,,,,,,,,,,,,,,,,,,
Ke'Shawn Vaughn	4	3	46	572	3296	5.8	30	71.7	67	664	9.9	3	14.4	639	3960	6.2	33	4,,,,,,,,,,,,,,,,,,,
Zack Moss	3	3	45	712	4067	5.7	38	90.4	66	685	10.4	3	15.2	778	4752	6.1	41	4,,,,,,,,,,,,,,,,,,,
Darrynton Evans	4	3	39	482	2884	6	25	73.9	39	319	8.2	6	8.2	521	3203	6.1	31	3,,,,,,,,,,,,,,,,,,,
Joshua Kelley	4	4	22	454	2303	5.1	24	104.7	38	264	6.9	1	12	492	2567	5.2	25	2,,,,,,,,,,,,,,,,,,,
La'Mical Perine	4	4	50	493	2485	5	22	49.7	72	674	9.4	8	13.5	565	3159	5.6	30	4,,,,,,,,,,,,,,,,,,,
Anthony McFarland Jr.	4	4	23	245	1648	6.7	12	71.7	24	199	8.3	1	8.7	269	1847	6.9	13	2,,,,,,,,,,,,,,,,,,,
DeeJay Dallas	4	4	35	265	1527	5.8	17	43.6	28	317	11.3	2	9.1	293	1844	6.3	19	3,,,,,,,,,,,,,,,,,,,
Jason Huntley	4	5	47	373	2182	5.8	18	46.4	134	1119	8.4	7	23.8	507	3301	6.5	25	4,,,,,,,,,,,,,,,,,,,
Eno Benjamin	4	7	35	576	2867	5	27	81.9	82	625	7.6	4	17.9	658	3492	5.3	31	3,,,,,,,,,,,,,,,,,,,
Raymond Calais	4	7	49	236	1845	7.8	15	37.7	17	145	8.5	1	3	253	1990	7.9	16	4,,,,,,,,,,,,,,,,,,,
Malcolm Perry	4	7	41	614	4359	7.1	40	106.3	22	470	21.4	3	11.5	636	4829	7.6	43	4,,,,,,,,,,,,,,,,,,,
Najee Harris	1	1	55	638	3843	6	46	69.9	80	781	9.8	11	14.2	718	4624	6.4	57	4,,,,,,,,,,,,,,,,,,,
Travis Etienne	1	1	55	686	4952	7.2	70	90	102	1155	11.3	8	21	788	6107	7.8	78	4,,,,,,,,,,,,,,,,,,,
Javonte Williams	2	2	35	366	2297	6.3	29	65.6	50	539	10.8	4	15.4	416	2836	6.8	33	3,,,,,,,,,,,,,,,,,,,
Trey Sermon	4	3	45	455	2946	6.5	26	65.5	48	486	10.1	3	10.8	503	3432	6.8	29	4,,,,,,,,,,,,,,,,,,,
Michael Carter	3	4	44	514	3403	6.6	22	77.3	82	656	8	6	14.9	596	4059	6.8	28	4,,,,,,,,,,,,,,,,,,,
Kene Nwangwu	4	4	50	143	744	5.2	4	14.9	7	57	8.1	0	1.1	150	801	5.3	4	4,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson	1	4	19	165	1180	7.2	13	62.1	28	298	10.6	0	15.7	193	1478	7.7	13	2,,,,,,,,,,,,,,,,,,,
Chuba Hubbard	2	4	33	585	3459	5.9	33	104.8	53	479	9	3	14.5	638	3938	6.2	36	3,,,,,,,,,,,,,,,,,,,
Kenneth Gainwell	4	5	18	235	1550	6.6	14	86.1	57	662	11.6	3	36.8	292	2212	7.6	17	2,,,,,,,,,,,,,,,,,,,
Elijah Mitchell	3	6	43	526	3259	6.2	41	75.8	49	597	12.2	5	13.9	575	3856	6.7	46	4,,,,,,,,,,,,,,,,,,,
Gary Brightwell	4	6	40	245	1305	5.3	9	32.6	19	121	6.4	1	3	264	1426	5.4	10	4,,,,,,,,,,,,,,,,,,,
Larry Roundtree	4	6	48	746	3720	5	40	77.5	47	289	6.1	0	6	793	4009	5.1	40	4,,,,,,,,,,,,,,,,,,,
Chris Evans	4	6	43	320	1795	5.6	15	41.7	49	479	9.8	2	11.1	369	2274	6.2	17	4,,,,,,,,,,,,,,,,,,,
Demetric Felton	4	6	41	233	1101	4.7	7	26.9	99	958	9.7	8	23.4	332	2059	6.2	15	4,,,,,,,,,,,,,,,,,,,
Khalil Herbert	4	6	46	474	2917	6.2	22	63.4	33	293	8.9	1	6.4	507	3210	6.3	23	5,,,,,,,,,,,,,,,,,,,
Jake Funk	4	7	36	135	968	7.2	10	26.9	23	134	5.8	3	3.7	158	1102	7	13	5,,,,,,,,,,,,,,,,,,,
Gerrid Doaks	4	7	31	331	1712	5.2	14	55.2	36	407	11.3	4	13.1	367	2119	5.8	18	4,,,,,,,,,,,,,,,,,,,
Kylin Hill	4	7	40	452	2535	5.6	16	63.4	67	631	9.4	6	15.8	519	3166	6.1	22	4,,,,,,,,,,,,,,,,,,,
Jermar Jefferson	4	7	27	514	2923	5.7	27	108.3	43	299	7	2	11.1	557	3222	5.8	29	3,,,,,,,,,,,,,,,,,,,
,Breece Hall,1.0,2.0,36.0,718.0,3933.0,5.5,50.0,109.3,82.0,734.0,9.0,6.0,20.4,800.0,4667.0,5.8,56.0,3.0
,Kenneth Walker III,2.0,2.0,33.0,480.0,2794.0,5.8,35.0,84.7,19.0,136.0,7.2,1.0,4.1,499.0,2930.0,5.9,36.0,3.0
,James Cook,1.0,2.0,50.0,230.0,1503.0,6.5,14.0,30.1,67.0,730.0,10.9,6.0,14.6,297.0,2233.0,7.5,20.0,4.0
,Rachaad White,1.0,3.0,15.0,224.0,1426.0,6.4,20.0,95.1,51.0,607.0,11.9,2.0,40.5,275.0,2033.0,7.4,22.0,2.0
,Tyrion Davis-Price,4.0,3.0,35.0,379.0,1744.0,4.6,15.0,49.8,28.0,185.0,6.6,0.0,5.3,407.0,1929.0,4.7,15.0,3.0
,Brian Robinson Jr.,2.0,3.0,66.0,545.0,2704.0,5.0,29.0,41.0,52.0,446.0,8.6,2.0,6.8,597.0,3150.0,5.3,31.0,5.0
,Dameon Pierce,3.0,4.0,50.0,329.0,1806.0,5.5,23.0,36.1,45.0,422.0,9.4,5.0,8.4,374.0,2228.0,6.0,28.0,4.0
,Zamir White,4.0,4.0,38.0,382.0,2043.0,5.3,25.0,53.8,17.0,132.0,7.8,0.0,3.5,399.0,2175.0,5.5,25.0,3.0
,Isaiah Spiller,4.0,4.0,35.0,541.0,2993.0,5.5,25.0,85.5,74.0,585.0,7.9,1.0,16.7,615.0,3578.0,5.8,26.0,3.0
,Hassan Haskins,4.0,4.0,36.0,452.0,2324.0,5.1,30.0,64.6,24.0,171.0,7.1,0.0,4.8,476.0,2495.0,5.2,30.0,4.0
,Tyler Allgeier,3.0,5.0,41.0,452.0,2904.0,6.4,36.0,70.8,46.0,437.0,9.5,1.0,10.7,498.0,3341.0,6.7,37.0,4.0
,Snoop Conner,4.0,5.0,35.0,304.0,1580.0,5.2,26.0,45.1,32.0,225.0,7.0,0.0,6.4,336.0,1805.0,5.4,26.0,3.0
,Jerome Ford,2.0,5.0,32.0,318.0,1953.0,6.1,30.0,61.0,31.0,282.0,9.1,1.0,8.8,349.0,2235.0,6.4,31.0,4.0
,Kyren Williams,1.0,5.0,28.0,419.0,2153.0,5.1,27.0,76.9,78.0,675.0,8.7,4.0,24.1,497.0,2828.0,5.7,31.0,3.0
,Ty Chandler,4.0,5.0,59.0,603.0,3138.0,5.2,26.0,53.2,73.0,681.0,9.3,4.0,11.5,676.0,3819.0,5.6,30.0,5.0
,Kevin Harris,4.0,6.0,28.0,358.0,1976.0,5.5,23.0,70.6,35.0,274.0,7.8,1.0,9.8,393.0,2250.0,5.7,24.0,3.0
,Tyler Badie,4.0,6.0,46.0,513.0,2740.0,5.3,23.0,59.6,126.0,1149.0,9.1,11.0,25.0,639.0,3889.0,6.1,34.0,4.0
