Name,Height,Weight,Games,Carries,Rushing Yards,Yards per Carry,Rushing TD,Rushing Yards per Game,Receptions,Receiving Yards,Yards per Reception,Receiving TD,Receiving Yards per Game,Total Yards,Total Yards per Play,Total TD,Years,Tier
Jahmyr Gibbs,5'9,202 lbs,31,383,2132,5.6,15,68.8,104,1217,11.7,8,39.3,3349,6.9,23,3,1
Saquon Barkley,6'0,233 lbs,38,671,3843,5.7,43,101.1,102,1195,11.7,8,31.4,5038,6.5,51,3,1
Bijan Robinson,5'11,215 lbs,31,539,3410,6.3,33,110,60,805,13.4,8,26,4215,7,41,3,1
Derrick Henry,6'2,247 lbs,39,602,3591,6,42,92.1,17,285,16.8,3,7.3,3876,6.3,45,3,1
De'Von Achane,5'9,188 lbs,30,369,2376,6.4,21,79.2,65,554,8.5,5,18.5,2930,6.8,26,3,1
Josh Jacobs,5'10,223 lbs,42,251,1491,5.9,16,35.5,48,571,11.9,5,13.6,2062,6.9,21,3,1
Kyren Williams,5'9,202 lbs,28,419,2153,5.1,27,76.9,78,675,8.7,4,24.1,2828,5.7,31,3,1
James Cook,5'11,190 lbs,50,230,1503,6.5,14,30.1,67,730,10.9,6,14.6,2233,7.5,20,4,1
Alvin Kamara,5'10,215 lbs,24,210,1294,6.2,16,53.9,74,683,9.2,7,28.5,1977,7,23,2,1
Chase Brown,5'10,210 lbs,49,676,3558,5.3,18,72.6,58,521,9,3,10.6,4079,5.6,21,5,1
James Conner,6'1,233 lbs,39,668,3733,5.6,52,95.7,30,412,13.7,4,10.6,4145,5.9,56,4,1
Jonathan Taylor,5'10,226 lbs,41,926,6174,6.7,50,150.6,42,407,9.7,5,9.9,6581,6.8,55,3,1
Bucky Irving,5'10,195 lbs,39,475,2937,6.2,20,75.3,95,785,8.3,5,20.1,3722,6.5,25,3,2
Aaron Jones Sr.,5'10,195 lbs,35,658,4114,6.3,33,117.5,71,646,9.1,7,18.5,4760,6.5,40,4,1
Chuba Hubbard,6'1,210 lbs,33,585,3459,5.9,33,104.8,53,479,9,3,14.5,3938,6.2,36,3,2
Breece Hall,5'11,217 lbs,36,718,3933,5.5,50,109.3,82,734,9,6,20.4,4667,5.8,56,3,1
Joe Mixon,6'1,220 lbs,25,300,2027,6.8,17,81.1,65,894,13.8,9,35.8,2921,8,26,2,1
David Montgomery,5'11,230 lbs,37,624,2925,4.7,26,79.1,71,582,8.2,0,15.7,3507,5,26,3,1
D'Andre Swift,5'9,215 lbs,43,440,2885,6.6,20,67.1,73,666,9.1,5,15.5,3551,6.9,25,3,2
Najee Harris,6'1,232 lbs,55,638,3843,6,46,69.9,80,781,9.8,11,14.2,4624,6.4,57,4,1
Tony Pollard,6'0,209 lbs,40,139,941,6.8,9,23.5,104,1292,12.4,9,32.3,2233,9.2,18,3,1
Rachaad White,6'0,214 lbs,15,224,1426,6.4,20,95.1,51,607,11.9,2,40.5,2033,7.4,22,2,1
Rico Dowdle,5'11,215 lbs,39,428,2167,5.1,16,55.6,62,483,7.8,3,12.4,2650,5.4,19,4,2
J.K. Dobbins,5'10,215 lbs,42,725,4459,6.2,38,106.2,71,645,9.1,5,15.4,5104,6.4,43,3,2
Zach Charbonnet,6'1,214 lbs,40,566,3346,5.9,39,83.7,75,589,7.9,0,14.7,3935,6.1,39,4,3
Tyrone Tracy Jr.,5'11,210 lbs,63,146,947,6.5,10,15,113,1201,10.6,5,19.1,2148,8.3,15,5,3
Kenneth Walker III,5'9,211 lbs,33,480,2794,5.8,35,84.7,19,136,7.2,1,4.1,2930,5.9,36,3,2
Rhamondre Stevenson,6'0,227 lbs,19,165,1180,7.2,13,62.1,28,298,10.6,0,15.7,1478,7.7,13,2,1
Brian Robinson Jr.,6'1,228 lbs,66,545,2704,5,29,41,52,446,8.6,2,6.8,3150,5.3,31,5,2
Javonte Williams,5'10,220 lbs,35,366,2297,6.3,29,65.6,50,539,10.8,4,15.4,2836,6.8,33,3,2
Kareem Hunt,5'11,216 lbs,44,782,4945,6.3,44,112.4,73,555,7.6,1,12.6,5500,6.4,45,4,1
Alexander Mattison,5'11,220 lbs,40,581,2829,4.9,33,70.7,60,511,8.5,1,12.8,3340,5.2,34,3,3
Jerome Ford,5'10,210 lbs,32,318,1953,6.1,30,61,31,282,9.1,1,8.8,2235,6.4,31,4,2
Travis Etienne Jr.,5'10,215 lbs,55,686,4952,7.2,70,90,102,1155,11.3,8,21,6107,7.8,78,4,1
Tank Bigsby,5'11,215 lbs,35,541,2906,5.4,25,83,62,448,7.2,0,12.8,3354,5.6,25,3,3
Justice Hill,5'10,195 lbs,36,632,3539,5.6,30,98.3,49,304,6.2,1,8.4,3843,5.6,31,3,4
Ameer Abdullah,5'9,203 lbs,53,813,4588,5.6,39,86.6,73,690,9.5,7,13,5278,6,46,4,4
Jaylen Warren,5'8,215 lbs,29,407,2037,5,19,70.2,45,440,9.8,0,15.2,2477,5.5,19,3,2
Ray Davis,5'8,220 lbs,28,139,497,3.6,4,17.8,4,25,6.3,0,0.9,522,3.7,4,3,4
Jordan Mason,5'11,223 lbs,43,449,2349,5.2,17,54.6,25,202,8.1,1,4.7,2551,5.4,18,4,4
Tyjae Spears,5'11,195 lbs,34,427,2910,6.8,31,85.6,48,564,11.8,3,16.6,3474,7.3,34,4,3
Tyler Allgeier,5'11,225 lbs,41,452,2904,6.4,36,70.8,46,437,9.5,1,10.7,3341,6.7,37,4,3
Antonio Gibson,6'0,228 lbs,28,44,834,19,10,29.8,33,369,11.2,4,13.2,1203,15.6,14,2,1
Devin Singletary,5'7,203 lbs,38,714,4289,6,66,112.9,51,397,7.8,1,10.4,4686,6.1,67,3,2
Emanuel Wilson,5'10,226 lbs,41,231,1392,6,17,34,42,358,8.5,1,8.7,1750,6.4,18,4,4
Isaac Guerendo,6'0,221 lbs,41,231,1392,6,17,34,42,358,8.5,1,8.7,1750,6.4,18,6,4
