Player,Repeats,PPR Points,Best Year,Team,College,Conference,Draft,Years,Games,Carries,Rushing Yards,Yards Per Carry,Yards Per Game,Rushing TDs,Receptions,Recieving Yards,Yards Per Reception,Recieving Yards Per Game,Recieving TDs,Plays,Age
Christian McCaffery,2,391.3,2023,SF,Stanford,PAC-12,8,3,38,632,3922,6.2,103.2,21,99,1206,12.2,31.7,10,731,27
Alvin Kamara,1,377.8,2020,NO,Tennessee,SEC,67,2,24,210,1294,6.2,53.9,16,74,683,9.2,28.5,7,284,28
Jonathan Taylor,1,373.1,2021,IND,Wisconsin,BIG 10,41,3,41,926,6174,6.7,150.6,50,42,407,9.7,9.9,5,968,25
Jahmyr Gibbs,1,362.9,2024,DET,"Gerogia Tech, Alabama","ACC, SEC",12,3,31,383,2132,5.6,68.8,15,104,1217,11.7,39.3,8,487,22
Saquon Barkley,2,355.3,2024,PHI,Penn St.,BIG 10,2,3,38,671,3843,5.7,101.1,43,102,1195,11.7,31.4,8,773,27
Bijan Robinson,1,341.7,2024,ATL,Texas,BIG 12,8,3,31,539,3410,6.3,110.0,33,60,805,13.4,26.0,8,599,21
Dalvin Cook,1,337.8,2020,MIN,Florida St.,ACC,41,3,38,687,4464,6.5,117.5,46,79,935,11.8,24.6,2,766,29
Derrick Henry,3,336.4,2024,BAL,Alabama,SEC,45,3,39,602,3591,6.0,92.1,42,17,285,16.8,7.3,3,619,30
Josh Jacobs,2,328.3,2022,LV,Alabama,SEC,24,3,42,251,1491,5.9,35.5,16,48,571,11.9,13.6,5,299,26
Najee Harris,1,300.7,2021,PIT,Alabama,SEC,24,4,55,638,3843,6.0,69.9,46,80,781,9.8,14.2,11,718,26
De'Von Achane,1,299.9,2024,MIA,Texas A&M,SEC,84,3,30,369,2376,6.4,79.2,21,65,554,8.5,18.5,5,434,22
Breece Hall,1,290.5,2023,NYJ,Iowa St.,BIG 12,36,3,36,718,3933,5.5,109.3,50,82,734,9.0,20.4,6,800,23
Joe Mixon,1,287.9,2021,CIN,Oklahoma,BIG 12,48,2,25,300,2027,6.8,81.1,17,65,894,13.8,35.8,9,365,27
Travis Etienne Jr.,1,282.4,2023,JAX,Clemson,ACC,25,4,55,686,4952,7.2,90.0,70,102,1155,11.3,21.0,8,788,25
