Player Name,TFP,Height,Weight,Age,College
Jahmyr Gibbs,362.9,"5' 9""",202 lbs,23,Alabama
Saquon Barkley,355.3,6',233 lbs,28,Penn State
Bijan Robinson,341.7,"5' 11""",215 lbs,23,Texas
Derrick Henry,336.4,"6' 2""",247 lbs,31,Alabama
De'Von Achane,299.9,"5' 9""",188 lbs,23,Texas A&M
Josh Jacobs,293.1,"5' 10""",223 lbs,27,Alabama
Kyren Williams,272.1,"5' 9""",202 lbs,24,Notre Dame
James Cook,266.7,"5' 11""",190 lbs,25,Georgia
Alvin Kamara,265.3,"5' 10""",215 lbs,29,Tennessee
Chase Brown,255,"5' 10""",210 lbs,25,Illinois
James Conner,253.8,"6' 1""",233 lbs,29,Pittsburgh
Jonathan Taylor,244.7,"5' 10""",226 lbs,26,Wisconsin
Bucky Irving,244.4,"5' 10""",195 lbs,22,Oregon
Aaron Jones Sr.,241.6,"5' 10""",195 lbs,30,UTEP
Chuba Hubbard,241.6,"6' 1""",210 lbs,25,Oklahoma State
Breece Hall,240.9,"5' 11""",217 lbs,23,Iowa State
Joe Mixon,240.5,"6' 1""",220 lbs,28,Oklahoma
David Montgomery,221.7,"5' 11""",230 lbs,27,Iowa State
D'Andre Swift,214.5,"5' 9""",215 lbs,26,Georgia
Najee Harris,204.6,"6' 1""",232 lbs,27,Alabama
Tony Pollard,200.7,6',209 lbs,27,Memphis
Rachaad White,199.6,6',214 lbs,26,Arizona State
Rico Dowdle,197.8,"5' 11""",215 lbs,26,South Carolina
J.K. Dobbins,191.8,"5' 10""",215 lbs,26,Ohio State
Zach Charbonnet,186.9,"6' 1""",214 lbs,24,UCLA
Tyrone Tracy Jr.,182.3,"5' 11""",210 lbs,25,Purdue
Kenneth Walker III,181.2,"5' 9""",211 lbs,24,Michigan State
Rhamondre Stevenson,175.9,6',227 lbs,27,Oklahoma
Brian Robinson Jr.,159.8,"6' 1""",228 lbs,26,Alabama
Javonte Williams,157.9,"5' 10""",220 lbs,24,North Carolina
Kareem Hunt,155.4,"5' 11""",216 lbs,29,Toledo
Alexander Mattison,137.4,"5' 11""",220 lbs,26,Boise State
Jerome Ford,134,"5' 10""",210 lbs,25,Cincinnati
Austin Ekeler,132.3,"5' 9""",200 lbs,29,Western Colorado
Travis Etienne Jr.,130.2,"5' 10""",215 lbs,26,Clemson
Tank Bigsby,129,"5' 11""",215 lbs,22,Auburn
Justice Hill,127.1,"5' 10""",195 lbs,27,Oklahoma State
Ameer Abdullah,125.2,"5' 9""",203 lbs,31,Nebraska
Jaylen Warren,124.1,"5' 8""",215 lbs,26,Oklahoma State
Ray Davis,116.1,"5' 8""",220 lbs,25,Kentucky
Jordan Mason,115,"5' 11""",223 lbs,25,Georgia Tech
Tyjae Spears,113.6,"5' 11""",195 lbs,23,Tulane
Tyler Allgeier,106.2,"5' 11""",225 lbs,24,BYU
Antonio Gibson,103.4,6',228 lbs,26,Memphis
Jaleel McLaughlin,97.2,"5' 7""",187 lbs,24,Youngstown State
Devin Singletary,96.6,"5' 7""",203 lbs,27,Florida Atlantic
