Name,Height,Weight,Games,Carries,Rushing Yards,Yards per Carry,Rushing TD,Rushing Yards per Game,Receptions,Receiving Yards,Yards per Reception,Receiving TD,Receiving Yards per Game,Plays,Total Yards,Total Yards per Play,Total TD,Years
Ashton Jeanty,5'8,211 lbs,40,750,4769,6.4,50,119.2,80,862,10.8,6,21.6,830,5631,6.8,56,3
Omarion Hampton,6'1,221 lbs,38,622,3565,5.7,36,93.8,73,635,8.7,4,16.7,695,4200,6,40,3
Kaleb Johnson,6'1,224 lbs,35,508,2779,5.5,30,79.4,29,240,8.3,2,6.9,537,3019,5.6,32,3
TreVeyon Henderson,5'10,202 lbs,47,590,3761,6.4,42,80,77,853,11.1,6,18.1,667,4614,6.9,48,4
Dylan Sampson,5'8,200 lbs,35,422,2492,5.9,35,71.2,40,342,8.6,1,9.8,462,2834,6.1,36,3
Quinshon Judkins,6'1,221 lbs,42,739,3785,5.1,45,90.1,59,442,7.5,5,10.5,798,4227,5.3,50,3
Devin Neal,5'11,213 lbs,49,760,4343,5.7,49,88.6,77,711,9.2,4,14.5,837,5054,6,53,4
Cam Skattebo,5'10,219 lbs,49,760,4343,5.7,49,88.6,77,711,9.2,4,14.5,837,5054,6,53,2
Jordan James,5'10,205 lbs,38,386,2215,5.7,31,58.3,42,347,8.3,1,9.1,428,2562,6,32,3
Brashard Smith,5'10,194 lbs,49,253,1509,6,15,30.8,108,1097,10.2,8,22.4,361,2606,7.2,23,4
LeQuint Allen,6'1,204 lbs,39,514,2359,4.6,26,60.5,119,848,7.1,6,21.7,633,3207,5.1,32,3
Trevor Etienne,5'9,198 lbs,34,371,2081,5.6,23,61.2,62,432,7,1,12.7,433,2513,5.8,24,3
Damien Martinez,6'1,217 lbs,38,514,3169,6.2,26,83.4,32,391,12.2,0,10.3,546,3560,6.5,26,3
Bhayshul Tuten,5'9,206 lbs,24,356,2022,5.7,25,84.3,50,320,6.4,4,13.3,406,2342,5.8,29,2
Kalel Mullings,6'2,226 lbs,56,235,1201,5.1,16,21.4,8,67,8.4,0,1.2,243,1268,5.2,16,5
RJ Harvey,5'8,205 lbs,41,579,3792,6.5,43,92.5,61,720,11.8,4,17.6,640,4512,7.1,47,4
DJ Giddens,6'1,212 lbs,39,517,3087,6,23,79.2,58,679,11.7,4,17.4,575,3766,6.5,27,3
Ollie Gordon II,6'1,226 lbs,39,537,2920,5.4,36,74.9,80,585,7.3,4,15,617,3505,5.7,40,3
Jaydon Blue,5'9,196 lbs,38,214,1161,5.4,11,30.6,56,503,9,7,13.2,270,1664,6.2,18,3
Raheim Sanders,6'1,217 lbs,44,581,3111,5.4,28,70.7,76,771,10.1,5,17.5,657,3882,5.9,33,4
Jarquez Hunter,5'9,204 lbs,49,539,3371,6.3,25,68.8,68,558,8.2,4,11.4,607,3929,6.5,29,4
Woody Marks,5'10,207 lbs,57,608,3016,5,31,52.9,261,1546,5.9,5,27.1,869,4562,5.2,36,5
Tahj Brooks,5'9,214 lbs,56,879,4557,5.2,45,81.4,102,548,5.4,2,9.8,981,5105,5.2,47,5
Donovan Edwards,5'11,205 lbs,50,422,2251,5.3,19,45,86,797,9.3,4,15.9,508,3048,6,23,4
Kyle Monangai,5'8,211 lbs,52,669,3222,4.8,27,62,38,252,6.6,1,4.8,707,3474,4.9,28,5
Ja'Quinden Jackson,6'2,229 lbs,37,394,2148,5.5,29,58.1,23,200,8.7,0,5.4,417,2348,5.6,29,4
Phil Mafah,6'1,234 lbs,50,561,2887,5.1,28,57.7,58,309,5.3,0,6.2,619,3196,5.2,28,4
Corey Kiner,5'9,209 lbs,45,556,2882,5.2,16,64,32,172,5.4,0,3.8,588,3054,5.2,16,4
Henry Parrish Jr.,5'10,185 lbs,53,521,2735,5.2,25,51.6,71,466,6.6,2,8.8,592,3201,5.4,27,5
Jacory Croskey-Merr…,5'11,208 lbs,13,202,1296,6.4,18,99.7,7,72,10.3,1,5.5,209,1368,6.5,19,2
Montrell Johnson Jr.,5'11,212 lbs,49,569,3089,5.4,33,63,61,411,6.7,2,8.4,630,3500,5.6,35,4
Ulysses Bentley IV,5'10,201 lbs,57,468,2591,5.5,28,45.5,66,484,7.3,3,8.5,534,3075,5.8,31,6
Antario Brown,5'10,214 lbs,41,518,3090,6,26,75.4,21,263,12.5,2,6.4,539,3353,6.2,28,4
Donald Chaney,5'11,220 lbs,36,225,1030,4.6,9,28.6,24,224,9.3,0,6.2,249,1254,5,9,5
Peny Boone,6'1,232 lbs,46,401,2305,5.7,22,50.1,32,344,10.8,1,7.5,433,2649,6.1,23,5
Jam Griffin,5'9,208 lbs,50,257,1354,5.3,10,27.1,15,123,8.2,0,2.5,272,1477,5.4,10,6
Seth McGowan,6'1,220 lbs,20,210,1193,5.7,6,59.7,36,478,13.3,4,23.9,246,1671,6.8,10,2
Quinton Cooley,5'7,220 lbs,51,522,3057,5.9,33,59.9,11,82,7.5,0,1.6,533,3139,5.9,33,5
Sevion Morrison,6'1,215 lbs,34,90,507,5.6,7,14.9,9,74,8.2,0,2.2,99,581,5.9,7,4
Trey Sanders,6'1,215 lbs,49,177,750,4.2,9,15.3,14,86,6.1,0,1.8,191,836,4.4,9,5
John Emery Jr.,6'1,220 lbs,38,223,1123,5,14,29.6,37,330,8.9,2,8.7,260,1453,5.6,16,5
Jalen White,6'1,205 lbs,59,573,3016,5.3,36,51.1,60,365,6.1,2,6.2,633,3381,5.3,38,5
Rayshon Luke,5'9,172 lbs,24,56,271,4.8,1,11.3,11,148,13.5,0,6.2,67,419,6.3,1,3
EJ Smith,6'1,215 lbs,36,163,764,4.7,5,21.2,67,452,6.7,1,12.6,230,1216,5.3,6,5
Marcus Major,6'1,220 lbs,47,272,1185,4.4,11,25.2,43,321,7.5,3,6.8,315,1506,4.8,14,6
Marcus Carroll,5'10,210 lbs,53,591,2731,4.6,34,51.5,38,327,8.6,0,6.2,629,3058,4.9,34,5
Josh Williams,5'9,210 lbs,60,314,1494,4.8,17,24.9,71,600,8.5,1,10,385,2094,5.4,18,5
Brandon Thomas,5'10,210 lbs,44,297,1454,4.9,35,33,19,111,5.8,0,2.5,316,1565,5,35,5
Deion Smith,6'1,200 lbs,43,182,717,3.9,5,16.7,30,198,6.6,1,4.6,212,915,4.3,6,4
