Player Name,TFP
Jahmyr Gibbs,362.9
Saquon Barkley,355.3
Bijan Robinson,341.7
Derrick Henry,336.4
De'Von Achane,299.9
Josh Jacobs,293.1
Kyren Williams,272.1
James Cook,266.7
Alvin Kamara,265.3
Chase Brown,255
James Conner,253.8
Jonathan Taylor,244.7
Bucky Irving,244.4
Aaron Jones Sr.,241.6
Chuba Hubbard,241.6
Breece Hall,240.9
Joe Mixon,240.5
David Montgomery,221.7
D'Andre Swift,214.5
Najee Harris,204.6
Tony Pollard,200.7
Rachaad White,199.6
Rico Dowdle,197.8
J.K. Dobbins,191.8
Zach Charbonnet,186.9
Tyrone Tracy Jr.,182.3
Kenneth Walker III,181.2
Rhamondre Stevenson,175.9
Brian Robinson Jr.,159.8
Javonte Williams,157.9
Kareem Hunt,155.4
Alexander Mattison,137.4
Jerome Ford,134
Austin Ekeler,132.3
Travis Etienne Jr.,130.2
Tank Bigsby,129
Justice Hill,127.1
Ameer Abdullah,125.2
Jaylen Warren,124.1
Ray Davis,116.1
Jordan Mason,115
Tyjae Spears,113.6
Tyler Allgeier,106.2
Antonio Gibson,103.4
Jaleel McLaughlin,97.2
Devin Singletary,96.6
Emanuel Wilson,96
Isaac Guerendo,94.2
Cam Akers,93.2
Ty Johnson,91.7
Braelon Allen,85.2
Zack Moss,81.9
Samaje Perine,81.4
Roschon Johnson,77.4
Miles Sanders,77.3
Raheem Mostert,70.9
Sean Tucker,68.7
Gus Edwards,64.1
Jeremy McNichols,63.8
Nick Chubb,63.3
Kenneth Gainwell,60.6
Kyle Juszczyk,57.6
Ezekiel Elliott,57.5
Isiah Pacheco,56.9
Dare Ogunbowale,56
Emari Demercado,54.7
Trey Sermon,53.8
Audric Estime,48.7
Christian McCaffrey,47.8
Trey Benson,47
Isaiah Davis,45.9
Tyler Goodson,44.4
Dameon Pierce,43.5
Chris Brooks,42.2
Cordarrelle Patterson,37.5
Jamaal Williams,37.1
D'Ernest Johnson,35.9
Michael Carter,35.8
Pierre Strong Jr.,35.2
Blake Corum,33.5
Hassan Haskins,32.8
Kimani Vidal,32.7
D'Onta Foreman,32.6
Chris Rodriguez Jr.,31.5
Khalil Herbert,31.5
Patrick Taylor Jr.,29.8
Michael Burton,29.3
Zamir White,29.3
Kendre Miller,29.1
JaMycal Hasty,28.8
Ty Chandler,28.4
Sincere McCormick,27.2
Hunter Luepke,26.9
Jaylen Wright,26.7
Alec Ingold,26.3
Jordan Mims,26.1
Carson Steele,23.9
Kenny McIntosh,22.4
DeeJay Dallas,21
Craig Reynolds,20.9
Ronnie Rivers,18.3
Eric Gray,17.3
Patrick Ricard,17.2
Will Shipley,15.7
C.J. Ham,13.5
Julius Chestnut,13.3
Deuce Vaughn,11.8
Tony Jones Jr.,11.5
Jeff Wilson Jr.,10.6
Clyde Edwards-Helaire,10
Tyler Badie,9.4
Sione Vaki,8.1
Raheem Blackshear,8
Jonathon Brooks,7.5
Keaton Mitchell,6.8
J.J. Taylor,6.4
Travis Homer,6.4
Kene Nwangwu,6
Mike Boone,5.9
Jacob Kibodi,4.9
Jermar Jefferson,4.2
Dalvin Cook,4
Terrell Jennings,3.3
Blake Watson,3.3
Jase McClellan,3.2
Rasheen Ali,3.1
MarShawn Lloyd,2.8
Jonathan Ward,2.2
Myles Gaskin,2
George Holani,1.9
Cody Schrader,1.9
Chris Collier,1.8
Aaron Shampklin,1.7
Tyreik McAllister,1.1
Reggie Gilliam,0.7
Tyrion Davis-Price,0.7
Ke'Shawn Vaughn,0.4
Darrynton Evans,0.3
British Brooks,0.2
Joshua Kelley,0.2
La'Mical Perine,0
Khari Blasingame,0
Troy Hairston II,0
Keilan Robinson,0
Nyheim Hines,0
Trayveon Williams,0
D.J. Williams,0
Jabari Small,0
Evan Hull,0
Dante Miller,0
Gary Brightwell,0
Keaontay Ingram,0
Kendall Milton,0
Avery Williams,0
Jakob Johnson,0
John Kelly Jr.,0
Adam Prentice,0
Dylan Laube,-2
